Experiment,Config,Val Acc,Test Acc
Model Type,GCN,0.8288288288288288,0.6785714285714286
Model Type,SAGE,0.7837837837837838,0.5267857142857143
Model Type,GIN,0.8108108108108109,0.6875
Pooling,mean,0.8108108108108109,0.6875
Pooling,sum,0.8108108108108109,0.6517857142857143
Pooling,max,0.8288288288288288,0.6964285714285714
Features,With Node Features,0.8108108108108109,0.6875
Features,Constant Features,0.7657657657657657,0.5089285714285714
Regularization,None,0.7567567567567568,0.6517857142857143
Regularization,Dropout Only,0.7927927927927928,0.7142857142857143
Regularization,BatchNorm Only,0.7837837837837838,0.6607142857142857
Regularization,Residual Only,0.7927927927927928,0.7232142857142857
Regularization,Full Regularization,0.8108108108108109,0.6875
Depth/Capacity,"Layers=2, Dim=32",0.8198198198198198,0.6785714285714286
Depth/Capacity,"Layers=2, Dim=64",0.8198198198198198,0.7142857142857143
Depth/Capacity,"Layers=2, Dim=128",0.8108108108108109,0.6875
Depth/Capacity,"Layers=3, Dim=32",0.8198198198198198,0.6875
Depth/Capacity,"Layers=3, Dim=64",0.8108108108108109,0.6875
Depth/Capacity,"Layers=3, Dim=128",0.8198198198198198,0.7053571428571429
Depth/Capacity,"Layers=5, Dim=32",0.8108108108108109,0.6785714285714286
Depth/Capacity,"Layers=5, Dim=64",0.8198198198198198,0.6607142857142857
Depth/Capacity,"Layers=5, Dim=128",0.8288288288288288,0.6517857142857143
